type,content,count
keyword,avish,34
keyword,seconds,31
keyword,minutes,27
keyword,room,13
keyword,block,12
keyword,only,11
keyword,number,11
keyword,many,7
keyword,minute,6
keyword,name,5
action_item,T S AVISH 1 minute In manual complaint handling there was there will be lose of data and the progress of the complaint tracking will not happen.,
action_item,"T S AVISH 38 minutes 48 seconds When you enter your mail ID or your name, this mail ID no one will remember.",
action_item,From where they will capture the room.,
action_item,What if now you haven't given now how they will close it?,
action_item,"T S AVISH 39 minutes 18 seconds Room number has to be closed, correct?",
action_item,Which block is must?,
action_item,T S AVISH 39 minutes 44 seconds So Google president will sell your product.,
action_item,Your product should come in that way.,
action_item,"T S AVISH 40 minutes 4 seconds Corrections you do 100 times, corrections will be there only.",
action_item,Sai will give us experience.,
action_item,Let's listen to him improve on it before POD from all the details should be there.,
action_item,"Log name should be if you're doing only for Reva, how many blocks are there?",
action_item,That will have to be known in C block.,
action_item,"T S AVISH 41 minutes 55 seconds I say, yeah, I remember 16 or something close that you only should do it now.",
action_item,They should enter the room number.,
